Fuel,2025,2024,2023,2022,RTO Office
LPG ONLY,90,85,122,26,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
NOT APPLICABLE,469,413,379,501,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL,14089,15126,12310,12774,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL/CNG,808,576,244,103,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL(E20)/CNG,85,0,0,0,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL(E20)/HYBRID,5,0,0,0,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL/ETHANOL,3661,197,120,0,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL/HYBRID,32,29,52,60,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PETROL/LPG,0,0,3,5,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
PURE EV,1053,378,0,0,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
STRONG HYBRID EV,13,11,0,0,"DY_REGIONAL_TRANSPORT_OFFICE,_HINGOLI-MH38"
CNG ONLY,1845,1727,1760,1984,DY_RTO_RATNAGIRI_-_MH8
DIESEL,2445,2112,2121,1837,DY_RTO_RATNAGIRI_-_MH8
DIESEL/HYBRID,4,1,1,0,DY_RTO_RATNAGIRI_-_MH8
ELECTRIC(BOV),151,1126,1162,655,DY_RTO_RATNAGIRI_-_MH8
ETHANOL,1,1,0,0,DY_RTO_RATNAGIRI_-_MH8
LPG ONLY,19,30,18,24,DY_RTO_RATNAGIRI_-_MH8
NOT APPLICABLE,0,4,1,5,DY_RTO_RATNAGIRI_-_MH8
PETROL,17680,18540,17070,16236,DY_RTO_RATNAGIRI_-_MH8
PETROL/CNG,2256,1861,1414,1886,DY_RTO_RATNAGIRI_-_MH8
PETROL(E20)/CNG,332,0,0,0,DY_RTO_RATNAGIRI_-_MH8
PETROL(E20)/HYBRID,16,0,0,0,DY_RTO_RATNAGIRI_-_MH8
PETROL/ETHANOL,5936,1009,589,0,DY_RTO_RATNAGIRI_-_MH8
PETROL/HYBRID,106,140,198,156,DY_RTO_RATNAGIRI_-_MH8
PETROL/LPG,0,1,2,5,DY_RTO_RATNAGIRI_-_MH8
PURE EV,1351,502,0,0,DY_RTO_RATNAGIRI_-_MH8
STRONG HYBRID EV,48,23,0,0,DY_RTO_RATNAGIRI_-_MH8
CNG ONLY,3,0,0,0,GADCHIROLI_-_MH33
DIESEL,4322,2627,2462,2148,GADCHIROLI_-_MH33
DIESEL/HYBRID,1,1,0,0,GADCHIROLI_-_MH33
DUAL DIESEL/LNG,9,0,0,0,GADCHIROLI_-_MH33
ELECTRIC(BOV),202,321,203,103,GADCHIROLI_-_MH33
