Fuel,2025,2024,2023,2022,RTO Office
CNG ONLY,895,686,513,488,SINDHUDURG_KUDAL_-_MH7
DIESEL,1389,1181,1094,971,SINDHUDURG_KUDAL_-_MH7
DIESEL/HYBRID,1,0,0,0,SINDHUDURG_KUDAL_-_MH7
ELECTRIC(BOV),271,856,912,360,SINDHUDURG_KUDAL_-_MH7
ETHANOL,0,1,0,0,SINDHUDURG_KUDAL_-_MH7
LPG ONLY,42,107,150,13,SINDHUDURG_KUDAL_-_MH7
NOT APPLICABLE,1,0,0,2,SINDHUDURG_KUDAL_-_MH7
PETROL,11070,12522,11714,11288,SINDHUDURG_KUDAL_-_MH7
PETROL/CNG,1101,894,548,724,SINDHUDURG_KUDAL_-_MH7
PETROL(E20)/CNG,142,0,0,0,SINDHUDURG_KUDAL_-_MH7
PETROL(E20)/HYBRID,6,0,0,0,SINDHUDURG_KUDAL_-_MH7
PETROL/ETHANOL,4536,719,423,0,SINDHUDURG_KUDAL_-_MH7
PETROL/HYBRID,105,106,150,103,SINDHUDURG_KUDAL_-_MH7
PETROL/LPG,0,0,8,2,SINDHUDURG_KUDAL_-_MH7
PURE EV,1692,602,0,0,SINDHUDURG_KUDAL_-_MH7
STRONG HYBRID EV,32,20,0,0,SINDHUDURG_KUDAL_-_MH7
CNG ONLY,436,410,174,125,SRIRAMPUR_-_MH17
DIESEL,10997,7712,7124,6949,SRIRAMPUR_-_MH17
DIESEL/HYBRID,4,0,0,0,SRIRAMPUR_-_MH17
ELECTRIC(BOV),496,2372,2276,1138,SRIRAMPUR_-_MH17
ETHANOL,1,1,0,0,SRIRAMPUR_-_MH17
LPG ONLY,1,7,17,6,SRIRAMPUR_-_MH17
NOT APPLICABLE,312,179,199,340,SRIRAMPUR_-_MH17
PETROL,27403,37441,34714,31142,SRIRAMPUR_-_MH17
PETROL/CNG,2715,2333,1472,1179,SRIRAMPUR_-_MH17
PETROL(E20)/CNG,352,0,0,0,SRIRAMPUR_-_MH17
PETROL(E20)/HYBRID,15,0,0,0,SRIRAMPUR_-_MH17
PETROL(E20)/LPG,1,0,0,0,SRIRAMPUR_-_MH17
PETROL/ETHANOL,11996,971,596,0,SRIRAMPUR_-_MH17
PETROL/HYBRID,183,178,182,113,SRIRAMPUR_-_MH17
PETROL/LPG,0,0,0,1,SRIRAMPUR_-_MH17
PURE EV,6281,2383,0,0,SRIRAMPUR_-_MH17
STRONG HYBRID EV,106,50,0,0,SRIRAMPUR_-_MH17
CNG ONLY,6592,6010,4194,4212,THANE-MH04
DIESEL,14113,12447,11571,10816,THANE-MH04
DIESEL/HYBRID,67,48,20,1,THANE-MH04
ELECTRIC(BOV),609,2529,3427,3539,THANE-MH04
ETHANOL,9,6,0,0,THANE-MH04
LNG,0,20,0,0,THANE-MH04
NOT APPLICABLE,12,14,0,7,THANE-MH04
PETROL,59758,66571,60808,59686,THANE-MH04
PETROL/CNG,8311,8208,6702,6423,THANE-MH04
PETROL(E20)/CNG,1081,0,0,0,THANE-MH04
PETROL(E20)/HYBRID,132,0,0,0,THANE-MH04
PETROL/ETHANOL,21968,3406,1673,0,THANE-MH04
PETROL/HYBRID,764,1257,1651,960,THANE-MH04
PLUG-IN HYBRID EV,0,1,0,0,THANE-MH04
PURE EV,3463,883,0,0,THANE-MH04
STRONG HYBRID EV,853,532,0,0,THANE-MH04
CNG ONLY,595,582,289,219,UDGIR_-_MH55
DIESEL,1748,1017,972,1207,UDGIR_-_MH55
DIESEL/HYBRID,2,0,0,0,UDGIR_-_MH55
ELECTRIC(BOV),102,460,557,194,UDGIR_-_MH55
ETHANOL,1,0,0,0,UDGIR_-_MH55
LPG ONLY,0,0,1,7,UDGIR_-_MH55
NOT APPLICABLE,30,5,12,28,UDGIR_-_MH55
PETROL,6703,6734,5852,6665,UDGIR_-_MH55
PETROL/CNG,855,661,501,377,UDGIR_-_MH55
PETROL(E20)/CNG,79,0,0,0,UDGIR_-_MH55
PETROL(E20)/HYBRID,1,0,0,0,UDGIR_-_MH55
PETROL/ETHANOL,1893,175,100,0,UDGIR_-_MH55
PETROL/HYBRID,19,25,37,18,UDGIR_-_MH55
PURE EV,897,275,0,0,UDGIR_-_MH55
STRONG HYBRID EV,17,8,0,0,UDGIR_-_MH55
CNG ONLY,50,125,41,76,VAIJAPUR_-_MH57
DIESEL,3648,3318,2341,2481,VAIJAPUR_-_MH57
DIESEL/HYBRID,4,1,1,1,VAIJAPUR_-_MH57
ELECTRIC(BOV),133,934,756,444,VAIJAPUR_-_MH57
LPG ONLY,6,6,13,1,VAIJAPUR_-_MH57
NOT APPLICABLE,361,213,102,260,VAIJAPUR_-_MH57
PETROL,8037,11607,10701,9734,VAIJAPUR_-_MH57
PETROL/CNG,731,663,422,279,VAIJAPUR_-_MH57
PETROL(E20)/CNG,76,0,0,0,VAIJAPUR_-_MH57
PETROL(E20)/HYBRID,1,0,0,0,VAIJAPUR_-_MH57
PETROL/ETHANOL,3213,320,148,0,VAIJAPUR_-_MH57
PETROL/HYBRID,37,50,72,54,VAIJAPUR_-_MH57
PETROL/LPG,0,0,0,1,VAIJAPUR_-_MH57
PURE EV,1589,628,0,0,VAIJAPUR_-_MH57
STRONG HYBRID EV,28,15,0,0,VAIJAPUR_-_MH57
CNG ONLY,5107,4921,4076,3094,VASAI_-_MH48
DIESEL,8421,7179,7183,6347,VASAI_-_MH48
DIESEL/HYBRID,28,23,11,3,VASAI_-_MH48
ELECTRIC(BOV),766,3790,5069,3977,VASAI_-_MH48
ETHANOL,7,0,0,0,VASAI_-_MH48
NOT APPLICABLE,0,0,0,1,VASAI_-_MH48
PETROL,57289,66409,58609,53672,VASAI_-_MH48
PETROL/CNG,6084,6072,4632,3958,VASAI_-_MH48
PETROL(E20)/CNG,993,0,0,0,VASAI_-_MH48
PETROL(E20)/HYBRID,119,0,0,0,VASAI_-_MH48
PETROL/ETHANOL,22022,3569,1756,0,VASAI_-_MH48
PETROL/HYBRID,405,698,885,646,VASAI_-_MH48
PURE EV,3356,1180,0,0,VASAI_-_MH48
STRONG HYBRID EV,340,175,0,0,VASAI_-_MH48
CNG ONLY,3124,3105,2570,1999,VASHI_NEW_MUMBAI_-_MH43
DIESEL,7874,7183,6850,6252,VASHI_NEW_MUMBAI_-_MH43
DIESEL/HYBRID,51,44,23,6,VASHI_NEW_MUMBAI_-_MH43
ELECTRIC(BOV),262,1382,1964,1605,VASHI_NEW_MUMBAI_-_MH43
ETHANOL,5,1,0,0,VASHI_NEW_MUMBAI_-_MH43
LNG,0,13,0,0,VASHI_NEW_MUMBAI_-_MH43
NOT APPLICABLE,0,15,0,0,VASHI_NEW_MUMBAI_-_MH43
PETROL,17639,22741,21163,20864,VASHI_NEW_MUMBAI_-_MH43
PETROL/CNG,4710,5076,4046,3983,VASHI_NEW_MUMBAI_-_MH43
PETROL(E20)/CNG,590,0,0,0,VASHI_NEW_MUMBAI_-_MH43
PETROL(E20)/HYBRID,96,0,0,0,VASHI_NEW_MUMBAI_-_MH43
PETROL/ETHANOL,9287,972,507,0,VASHI_NEW_MUMBAI_-_MH43
PETROL/HYBRID,468,854,1315,846,VASHI_NEW_MUMBAI_-_MH43
PLUG-IN HYBRID EV,1,0,0,0,VASHI_NEW_MUMBAI_-_MH43
PURE EV,1748,529,0,0,VASHI_NEW_MUMBAI_-_MH43
STRONG HYBRID EV,612,336,0,0,VASHI_NEW_MUMBAI_-_MH43
CNG ONLY,77,34,0,0,WARDHA_-_MH32
DIESEL,3138,1908,1615,1955,WARDHA_-_MH32
DIESEL/HYBRID,1,0,1,0,WARDHA_-_MH32
ELECTRIC(BOV),730,1717,1730,879,WARDHA_-_MH32
NOT APPLICABLE,334,235,168,101,WARDHA_-_MH32
PETROL,14008,17016,14647,14746,WARDHA_-_MH32
PETROL/CNG,419,216,69,68,WARDHA_-_MH32
PETROL(E20)/CNG,42,0,0,0,WARDHA_-_MH32
PETROL(E20)/HYBRID,20,0,0,0,WARDHA_-_MH32
PETROL/ETHANOL,5252,205,123,0,WARDHA_-_MH32
PETROL/HYBRID,147,168,148,94,WARDHA_-_MH32
PURE EV,2759,1119,0,0,WARDHA_-_MH32
STRONG HYBRID EV,28,10,0,0,WARDHA_-_MH32
CNG ONLY,12,4,0,0,WASHIM_-_MH37
DIESEL,3489,2160,2305,2681,WASHIM_-_MH37
DIESEL/HYBRID,1,0,0,0,WASHIM_-_MH37
ELECTRIC(BOV),160,515,560,225,WASHIM_-_MH37
LPG ONLY,4,0,0,0,WASHIM_-_MH37
NOT APPLICABLE,269,308,337,313,WASHIM_-_MH37
PETROL,14025,18421,15646,15923,WASHIM_-_MH37
PETROL/CNG,329,177,42,19,WASHIM_-_MH37
PETROL(E20)/CNG,39,0,0,0,WASHIM_-_MH37
PETROL(E20)/HYBRID,10,0,0,0,WASHIM_-_MH37
PETROL/ETHANOL,4992,254,139,0,WASHIM_-_MH37
PETROL/HYBRID,97,170,150,106,WASHIM_-_MH37
PURE EV,986,360,0,0,WASHIM_-_MH37
STRONG HYBRID EV,23,8,0,0,WASHIM_-_MH37
CNG ONLY,52,12,0,0,YAWATMAL_-_MH29
DIESEL,6392,4513,4237,4391,YAWATMAL_-_MH29
DIESEL/HYBRID,5,5,2,2,YAWATMAL_-_MH29
ELECTRIC(BOV),470,2031,1630,622,YAWATMAL_-_MH29
LNG,0,0,0,0,YAWATMAL_-_MH29
LPG ONLY,104,94,52,53,YAWATMAL_-_MH29
NOT APPLICABLE,959,759,626,500,YAWATMAL_-_MH29
PETROL,29442,37484,33668,32736,YAWATMAL_-_MH29
PETROL/CNG,572,230,64,49,YAWATMAL_-_MH29
PETROL(E20)/CNG,59,0,0,0,YAWATMAL_-_MH29
PETROL(E20)/HYBRID,27,0,0,0,YAWATMAL_-_MH29
PETROL/ETHANOL,9507,620,353,0,YAWATMAL_-_MH29
PETROL/HYBRID,247,351,340,221,YAWATMAL_-_MH29
PETROL/HYBRID/CNG,0,1,0,1,YAWATMAL_-_MH29
PETROL/LPG,3,12,9,25,YAWATMAL_-_MH29
PURE EV,2662,1303,0,0,YAWATMAL_-_MH29
STRONG HYBRID EV,39,21,0,0,YAWATMAL_-_MH29
